Medicine Name,Disease,Dosage Form,Classification,Prescription,Description,Injection,Price,Category,Age
Paracetamol,Pain,Gel,Analgesic,Required,Reduces fever,Yes,391.92,Controlled Substance,Child
Aspirin,Blood Pressure,Drops,Antipyretic,Required,Reduces fever,Yes,148.73,Over the Counter,Senior
Lisinopril,Heart Disease,Injection,Analgesic,Not Required,Used for pain relief,No,31.66,Prescription,Child
Simvastatin,Diabetes,Capsule,Proton Pump Inhibitor,Required,Reduces fever,No,400.89,Prescription,Adult
Paracetamol,Allergy,Gel,Antibiotic,Not Required,Used for treating infections,Yes,266.55,Controlled Substance,Child
Metformin,Acidity,Gel,Proton Pump Inhibitor,Required,Used for pain relief,No,70.28,Controlled Substance,Senior
Metformin,Cholesterol,Cream,Analgesic,Not Required,Controls blood pressure,Yes,203.62,Controlled Substance,Child
Simvastatin,Diabetes,Gel,Analgesic,Not Required,Lowers cholesterol,No,338.27,Controlled Substance,Adult
Metformin,Acidity,Syrup,Statin,Not Required,Alleviates allergies,Yes,475.5,Controlled Substance,Adult
Aspirin,Asthma,Injection,Proton Pump Inhibitor,Required,Controls blood pressure,No,56.13,Over the Counter,Adult
Amoxicillin,Pain,Drops,ACE inhibitor,Not Required,Reduces fever,No,498.69,Controlled Substance,Adult
Paracetamol,Diabetes,Cream,Antipyretic,Not Required,Reduces fever,Yes,85.03,Over the Counter,Adult
Ibuprofen,Allergy,Tablet,Proton Pump Inhibitor,Not Required,Alleviates allergies,Yes,7.33,Over the Counter,Adult
Paracetamol,Cholesterol,Gel,Antipyretic,Required,Alleviates allergies,No,232.08,Controlled Substance,Child
Amoxicillin,Allergy,Tablet,Antihistamine,Not Required,Used for pain relief,No,491.85,Controlled Substance,Child
Paracetamol,Acidity,Gel,Proton Pump Inhibitor,Not Required,Alleviates allergies,No,324.25,Over the Counter,Adult
Amoxicillin,Asthma,Inhaler,ACE inhibitor,Not Required,Controls blood pressure,No,313.97,Controlled Substance,Adult
Paracetamol,Heart Disease,Gel,Proton Pump Inhibitor,Required,Used for treating infections,No,277.62,Controlled Substance,Adult
Ibuprofen,Fever,Capsule,Antipyretic,Not Required,Used for treating infections,Yes,319.88,Prescription,Senior
Ibuprofen,Cholesterol,Cream,Antihistamine,Not Required,Reduces fever,No,258.72,Over the Counter,Adult
Aspirin,Fever,Cream,Antihistamine,Required,Reduces fever,No,184.63,Prescription,Child
Lisinopril,Acidity,Tablet,Analgesic,Required,Controls blood pressure,Yes,452.68,Prescription,Senior
Cetirizine,Diabetes,Gel,Analgesic,Not Required,Reduces fever,No,303.05,Prescription,Senior
Paracetamol,Heart Disease,Cream,Antipyretic,Required,Lowers cholesterol,No,202.88,Over the Counter,Senior
Metformin,Heart Disease,Syrup,Statin,Not Required,Controls blood pressure,No,292.04,Over the Counter,Child
Paracetamol,Cholesterol,Capsule,Antibiotic,Not Required,Used for pain relief,Yes,385.62,Controlled Substance,Senior
Amoxicillin,Heart Disease,Injection,Statin,Required,Reduces fever,Yes,193.87,Prescription,Adult
Ibuprofen,Asthma,Cream,Antihistamine,Required,Used for treating infections,No,247.22,Prescription,Child
Aspirin,Fever,Capsule,Antihistamine,Not Required,Used for pain relief,No,89.41,Over the Counter,Child
Aspirin,Pain,Drops,Antihistamine,Not Required,Reduces fever,Yes,435.99,Controlled Substance,Adult
Simvastatin,Asthma,Gel,Proton Pump Inhibitor,Not Required,Used for pain relief,Yes,220.88,Over the Counter,Child
Simvastatin,Asthma,Syrup,Analgesic,Required,Used for pain relief,No,103.51,Controlled Substance,Senior
Ibuprofen,Blood Pressure,Inhaler,Statin,Required,Reduces fever,No,109.35,Over the Counter,Adult
Atorvastatin,Infection,Cream,ACE inhibitor,Not Required,Alleviates allergies,Yes,89.94,Over the Counter,Adult
Lisinopril,Asthma,Tablet,Statin,Not Required,Alleviates allergies,No,18.47,Controlled Substance,Senior
Ibuprofen,Acidity,Gel,Antihistamine,Required,Alleviates allergies,Yes,75.17,Controlled Substance,Adult
Simvastatin,Blood Pressure,Injection,Proton Pump Inhibitor,Not Required,Lowers cholesterol,No,292.36,Prescription,Senior
Ibuprofen,Fever,Tablet,ACE inhibitor,Not Required,Reduces fever,Yes,434.07,Controlled Substance,Child
Cetirizine,Infection,Syrup,Antipyretic,Required,Used for pain relief,No,277.54,Prescription,Child
Aspirin,Infection,Gel,Antihistamine,Required,Reduces fever,Yes,47.62,Over the Counter,Adult
Paracetamol,Diabetes,Cream,Proton Pump Inhibitor,Not Required,Used for pain relief,Yes,418.79,Prescription,Adult
Lisinopril,Allergy,Cream,Antibiotic,Not Required,Used for treating infections,No,241.17,Prescription,Adult
Lisinopril,Infection,Tablet,Antihistamine,Required,Reduces fever,Yes,371.24,Controlled Substance,Child
Cetirizine,Allergy,Capsule,ACE inhibitor,Required,Used for treating infections,Yes,74.53,Controlled Substance,Child
Cetirizine,Pain,Capsule,Analgesic,Not Required,Lowers cholesterol,Yes,450.02,Over the Counter,Senior
Aspirin,Infection,Inhaler,Statin,Not Required,Controls blood pressure,No,420.42,Controlled Substance,Adult
Paracetamol,Fever,Gel,Statin,Required,Reduces fever,Yes,262.36,Prescription,Senior
Ibuprofen,Acidity,Capsule,Antibiotic,Required,Reduces fever,No,357.81,Controlled Substance,Senior
Amoxicillin,Pain,Inhaler,ACE inhibitor,Not Required,Used for pain relief,No,219.74,Controlled Substance,Senior
Simvastatin,Blood Pressure,Drops,Antibiotic,Not Required,Controls blood pressure,Yes,98.27,Over the Counter,Child
Cetirizine,Asthma,Syrup,Antipyretic,Required,Used for treating infections,No,377.8,Prescription,Adult
Paracetamol,Diabetes,Drops,Antipyretic,Not Required,Used for pain relief,No,174.77,Over the Counter,Child
Cetirizine,Asthma,Injection,Antibiotic,Not Required,Alleviates allergies,Yes,149.47,Over the Counter,Senior
Ibuprofen,Asthma,Injection,Proton Pump Inhibitor,Not Required,Alleviates allergies,No,289.06,Over the Counter,Adult
Ibuprofen,Pain,Drops,Analgesic,Not Required,Lowers cholesterol,Yes,416.63,Controlled Substance,Child
Paracetamol,Diabetes,Cream,Analgesic,Not Required,Controls blood pressure,Yes,41.72,Prescription,Adult
Omeprazole,Cholesterol,Tablet,Statin,Not Required,Used for treating infections,No,324.98,Over the Counter,Child
Omeprazole,Asthma,Tablet,Analgesic,Required,Reduces fever,No,87.14,Prescription,Child
Cetirizine,Allergy,Syrup,Analgesic,Required,Controls blood pressure,No,457.87,Controlled Substance,Adult
Lisinopril,Pain,Capsule,Antibiotic,Required,Reduces fever,Yes,313.27,Prescription,Adult
Cetirizine,Blood Pressure,Inhaler,Analgesic,Not Required,Lowers cholesterol,No,356.46,Over the Counter,Senior
Amoxicillin,Allergy,Tablet,ACE inhibitor,Not Required,Lowers cholesterol,Yes,66.16,Prescription,Senior
Simvastatin,Cholesterol,Drops,ACE inhibitor,Required,Lowers cholesterol,Yes,149.49,Controlled Substance,Child
Amoxicillin,Heart Disease,Tablet,Statin,Required,Reduces fever,Yes,68.26,Prescription,Senior
Aspirin,Allergy,Injection,ACE inhibitor,Not Required,Used for treating infections,Yes,272.27,Over the Counter,Senior
Paracetamol,Heart Disease,Tablet,Proton Pump Inhibitor,Not Required,Lowers cholesterol,No,138.62,Over the Counter,Child
Lisinopril,Heart Disease,Drops,Analgesic,Not Required,Reduces fever,No,265.9,Over the Counter,Adult
Lisinopril,Cholesterol,Gel,ACE inhibitor,Not Required,Used for pain relief,No,135.51,Controlled Substance,Adult
Ibuprofen,Blood Pressure,Tablet,Analgesic,Required,Controls blood pressure,No,250.78,Over the Counter,Senior
Metformin,Blood Pressure,Drops,ACE inhibitor,Not Required,Controls blood pressure,Yes,103.56,Prescription,Adult
Omeprazole,Heart Disease,Cream,Antipyretic,Required,Reduces fever,Yes,103.7,Controlled Substance,Senior
Atorvastatin,Infection,Tablet,Antihistamine,Not Required,Used for treating infections,Yes,161.12,Over the Counter,Adult
Omeprazole,Heart Disease,Gel,Antibiotic,Not Required,Alleviates allergies,Yes,392.18,Over the Counter,Adult
Ibuprofen,Pain,Gel,Statin,Not Required,Alleviates allergies,No,250.04,Prescription,Adult
Atorvastatin,Blood Pressure,Tablet,Antibiotic,Not Required,Used for treating infections,Yes,33.79,Controlled Substance,Child
Cetirizine,Allergy,Drops,Proton Pump Inhibitor,Required,Used for pain relief,Yes,190.46,Prescription,Senior
Cetirizine,Acidity,Capsule,Proton Pump Inhibitor,Required,Controls blood pressure,No,411.46,Prescription,Child
Omeprazole,Heart Disease,Inhaler,Antipyretic,Not Required,Reduces fever,No,175.07,Prescription,Child
Lisinopril,Heart Disease,Inhaler,Statin,Required,Lowers cholesterol,Yes,117.26,Over the Counter,Adult
Paracetamol,Cholesterol,Syrup,Antihistamine,Required,Alleviates allergies,Yes,392.0,Controlled Substance,Senior
Metformin,Diabetes,Tablet,Analgesic,Not Required,Lowers cholesterol,No,103.42,Over the Counter,Senior
Omeprazole,Infection,Cream,Antibiotic,Required,Reduces fever,No,419.21,Controlled Substance,Adult
Lisinopril,Cholesterol,Injection,Proton Pump Inhibitor,Not Required,Lowers cholesterol,No,163.31,Controlled Substance,Senior
Aspirin,Diabetes,Cream,ACE inhibitor,Not Required,Reduces fever,No,219.95,Controlled Substance,Senior
Cetirizine,Infection,Inhaler,Antipyretic,Not Required,Controls blood pressure,Yes,38.43,Over the Counter,Adult
Metformin,Allergy,Injection,Statin,Required,Used for pain relief,No,121.39,Over the Counter,Adult
Simvastatin,Diabetes,Gel,Antihistamine,Required,Used for pain relief,Yes,124.98,Over the Counter,Adult
Cetirizine,Allergy,Drops,Antipyretic,Required,Used for pain relief,No,18.6,Controlled Substance,Child
Cetirizine,Diabetes,Inhaler,Antihistamine,Not Required,Used for pain relief,Yes,24.42,Over the Counter,Child
Aspirin,Heart Disease,Tablet,Antibiotic,Not Required,Used for pain relief,Yes,353.73,Prescription,Child
Amoxicillin,Diabetes,Drops,Antipyretic,Not Required,Used for pain relief,Yes,21.75,Over the Counter,Senior
Metformin,Asthma,Injection,Antibiotic,Not Required,Controls blood pressure,Yes,202.2,Controlled Substance,Senior
Paracetamol,Heart Disease,Inhaler,Antihistamine,Not Required,Used for treating infections,No,477.13,Prescription,Senior
Lisinopril,Heart Disease,Capsule,Antihistamine,Not Required,Used for pain relief,Yes,467.35,Over the Counter,Child
Cetirizine,Diabetes,Injection,Antibiotic,Not Required,Reduces fever,No,291.84,Prescription,Senior
Metformin,Allergy,Gel,ACE inhibitor,Not Required,Reduces fever,Yes,322.66,Prescription,Senior
Amoxicillin,Acidity,Inhaler,Statin,Required,Alleviates allergies,Yes,163.36,Controlled Substance,Adult
Cetirizine,Infection,Injection,Analgesic,Required,Used for pain relief,No,93.89,Over the Counter,Child
Omeprazole,Infection,Capsule,Statin,Not Required,Controls blood pressure,No,283.54,Controlled Substance,Child
Amoxicillin,Blood Pressure,Drops,Analgesic,Not Required,Lowers cholesterol,No,466.8,Controlled Substance,Senior
Simvastatin,Pain,Capsule,Proton Pump Inhibitor,Not Required,Used for treating infections,No,430.23,Over the Counter,Child
Atorvastatin,Asthma,Tablet,Proton Pump Inhibitor,Required,Lowers cholesterol,Yes,484.66,Over the Counter,Senior
Aspirin,Asthma,Drops,Antibiotic,Not Required,Controls blood pressure,No,19.16,Over the Counter,Senior
Ibuprofen,Heart Disease,Drops,Statin,Required,Controls blood pressure,Yes,244.95,Controlled Substance,Adult
Metformin,Acidity,Cream,Statin,Not Required,Used for treating infections,Yes,400.18,Over the Counter,Child
Metformin,Allergy,Inhaler,Antipyretic,Not Required,Used for pain relief,Yes,203.62,Over the Counter,Senior
Amoxicillin,Allergy,Gel,Antipyretic,Not Required,Alleviates allergies,No,266.32,Over the Counter,Senior
Omeprazole,Blood Pressure,Capsule,Antihistamine,Required,Used for pain relief,Yes,189.02,Over the Counter,Child
Simvastatin,Allergy,Gel,Antipyretic,Required,Controls blood pressure,No,28.3,Controlled Substance,Adult
Metformin,Diabetes,Gel,Antibiotic,Not Required,Lowers cholesterol,No,264.63,Controlled Substance,Adult
Ibuprofen,Pain,Tablet,Analgesic,Required,Used for treating infections,No,152.22,Controlled Substance,Senior
Amoxicillin,Acidity,Drops,Analgesic,Not Required,Lowers cholesterol,Yes,89.53,Prescription,Child
Ibuprofen,Allergy,Capsule,Antihistamine,Required,Controls blood pressure,No,61.72,Prescription,Senior
Lisinopril,Cholesterol,Inhaler,Analgesic,Required,Alleviates allergies,Yes,205.09,Prescription,Child
Paracetamol,Acidity,Inhaler,Analgesic,Not Required,Reduces fever,No,424.67,Over the Counter,Adult
Simvastatin,Heart Disease,Syrup,Antibiotic,Not Required,Controls blood pressure,Yes,449.69,Over the Counter,Adult
Aspirin,Acidity,Injection,Statin,Not Required,Used for pain relief,Yes,249.08,Controlled Substance,Child
Omeprazole,Asthma,Capsule,Antihistamine,Required,Used for treating infections,Yes,448.25,Controlled Substance,Senior
Atorvastatin,Acidity,Capsule,Antibiotic,Required,Lowers cholesterol,No,68.27,Over the Counter,Child
Atorvastatin,Acidity,Capsule,ACE inhibitor,Not Required,Used for treating infections,No,376.52,Prescription,Adult
Aspirin,Blood Pressure,Injection,Antihistamine,Required,Lowers cholesterol,No,283.01,Controlled Substance,Adult
Cetirizine,Fever,Gel,Antipyretic,Required,Alleviates allergies,No,113.07,Over the Counter,Senior
Amoxicillin,Acidity,Tablet,Antihistamine,Not Required,Used for pain relief,Yes,249.0,Over the Counter,Adult
Lisinopril,Allergy,Tablet,Proton Pump Inhibitor,Not Required,Controls blood pressure,Yes,265.88,Controlled Substance,Adult
Amoxicillin,Heart Disease,Drops,Analgesic,Required,Reduces fever,No,263.2,Prescription,Child
Lisinopril,Diabetes,Drops,Statin,Required,Used for pain relief,Yes,239.45,Over the Counter,Senior
Simvastatin,Blood Pressure,Cream,Analgesic,Not Required,Reduces fever,No,85.59,Controlled Substance,Adult
Lisinopril,Asthma,Tablet,Statin,Not Required,Controls blood pressure,Yes,414.74,Controlled Substance,Child
Aspirin,Cholesterol,Inhaler,Antihistamine,Not Required,Alleviates allergies,No,179.56,Controlled Substance,Adult
Simvastatin,Cholesterol,Injection,Antipyretic,Not Required,Reduces fever,No,145.93,Over the Counter,Child
Ibuprofen,Fever,Tablet,Statin,Required,Controls blood pressure,No,175.5,Prescription,Child
Simvastatin,Heart Disease,Gel,ACE inhibitor,Not Required,Reduces fever,Yes,185.45,Prescription,Child
Omeprazole,Asthma,Gel,Statin,Not Required,Lowers cholesterol,Yes,431.96,Prescription,Adult
Paracetamol,Infection,Gel,Analgesic,Required,Used for pain relief,Yes,32.99,Prescription,Child
Aspirin,Heart Disease,Injection,Proton Pump Inhibitor,Not Required,Used for treating infections,Yes,157.93,Over the Counter,Senior
Ibuprofen,Cholesterol,Gel,Analgesic,Required,Reduces fever,Yes,43.2,Over the Counter,Adult
Omeprazole,Asthma,Drops,Analgesic,Not Required,Lowers cholesterol,No,313.71,Over the Counter,Child
Paracetamol,Allergy,Drops,Proton Pump Inhibitor,Required,Lowers cholesterol,Yes,166.78,Controlled Substance,Child
Lisinopril,Asthma,Capsule,Antihistamine,Not Required,Controls blood pressure,No,326.69,Over the Counter,Senior
Simvastatin,Blood Pressure,Inhaler,Antipyretic,Required,Reduces fever,Yes,391.62,Controlled Substance,Child
Amoxicillin,Diabetes,Tablet,Analgesic,Required,Alleviates allergies,No,22.58,Over the Counter,Adult
Metformin,Asthma,Cream,Antipyretic,Required,Alleviates allergies,No,234.27,Over the Counter,Senior
Aspirin,Heart Disease,Inhaler,Proton Pump Inhibitor,Not Required,Controls blood pressure,Yes,328.74,Over the Counter,Child
Metformin,Blood Pressure,Capsule,Proton Pump Inhibitor,Not Required,Reduces fever,No,372.6,Over the Counter,Senior
Cetirizine,Blood Pressure,Tablet,Analgesic,Not Required,Used for treating infections,No,212.85,Prescription,Child
Paracetamol,Blood Pressure,Capsule,ACE inhibitor,Not Required,Reduces fever,Yes,170.69,Controlled Substance,Adult
Atorvastatin,Pain,Inhaler,Antihistamine,Required,Used for treating infections,Yes,152.06,Controlled Substance,Adult
Paracetamol,Acidity,Injection,Statin,Not Required,Controls blood pressure,Yes,384.88,Controlled Substance,Senior
Omeprazole,Fever,Gel,Statin,Not Required,Controls blood pressure,No,167.41,Controlled Substance,Adult
Lisinopril,Cholesterol,Capsule,Antibiotic,Not Required,Lowers cholesterol,No,437.38,Over the Counter,Adult
Atorvastatin,Acidity,Syrup,ACE inhibitor,Not Required,Controls blood pressure,Yes,128.94,Over the Counter,Child
Amoxicillin,Heart Disease,Inhaler,Antibiotic,Required,Reduces fever,No,201.23,Prescription,Adult
Lisinopril,Pain,Gel,Statin,Not Required,Used for pain relief,Yes,82.04,Over the Counter,Child
Cetirizine,Asthma,Tablet,Antibiotic,Not Required,Used for treating infections,No,367.41,Prescription,Adult
Cetirizine,Acidity,Capsule,ACE inhibitor,Required,Lowers cholesterol,No,498.74,Controlled Substance,Child
Paracetamol,Heart Disease,Gel,Analgesic,Required,Used for pain relief,Yes,230.48,Controlled Substance,Adult
Paracetamol,Fever,Capsule,ACE inhibitor,Not Required,Reduces fever,Yes,429.98,Controlled Substance,Adult
Paracetamol,Asthma,Syrup,ACE inhibitor,Not Required,Controls blood pressure,No,427.23,Prescription,Child
Paracetamol,Pain,Syrup,Analgesic,Required,Controls blood pressure,No,207.6,Over the Counter,Child
Ibuprofen,Heart Disease,Drops,ACE inhibitor,Required,Used for treating infections,No,415.02,Controlled Substance,Adult
Lisinopril,Heart Disease,Inhaler,Analgesic,Required,Reduces fever,Yes,356.17,Over the Counter,Adult
Atorvastatin,Acidity,Drops,Antihistamine,Required,Lowers cholesterol,No,43.36,Over the Counter,Senior
Simvastatin,Acidity,Syrup,Analgesic,Required,Controls blood pressure,No,35.31,Controlled Substance,Child
Paracetamol,Diabetes,Cream,ACE inhibitor,Not Required,Controls blood pressure,No,471.19,Prescription,Child
Ibuprofen,Heart Disease,Injection,Proton Pump Inhibitor,Not Required,Reduces fever,Yes,395.21,Over the Counter,Child
Lisinopril,Pain,Syrup,Statin,Required,Used for treating infections,No,418.72,Prescription,Senior
Ibuprofen,Blood Pressure,Gel,Statin,Not Required,Controls blood pressure,Yes,383.09,Controlled Substance,Senior
Metformin,Diabetes,Gel,ACE inhibitor,Required,Reduces fever,Yes,85.27,Prescription,Child
Simvastatin,Allergy,Capsule,Antipyretic,Not Required,Reduces fever,No,222.43,Prescription,Senior
Ibuprofen,Infection,Syrup,ACE inhibitor,Not Required,Used for pain relief,Yes,129.81,Prescription,Adult
Cetirizine,Allergy,Drops,Statin,Required,Used for treating infections,Yes,375.41,Controlled Substance,Child
Amoxicillin,Infection,Injection,Antibiotic,Required,Controls blood pressure,Yes,213.44,Prescription,Senior
Omeprazole,Blood Pressure,Capsule,Statin,Required,Alleviates allergies,Yes,291.68,Over the Counter,Child
Lisinopril,Blood Pressure,Capsule,Antibiotic,Not Required,Controls blood pressure,No,54.84,Prescription,Child
Omeprazole,Asthma,Cream,Antipyretic,Required,Used for treating infections,Yes,451.14,Over the Counter,Senior
Lisinopril,Asthma,Syrup,Antipyretic,Not Required,Alleviates allergies,No,481.32,Prescription,Adult
Ibuprofen,Cholesterol,Cream,Antibiotic,Required,Alleviates allergies,No,197.76,Prescription,Senior
Atorvastatin,Allergy,Drops,Proton Pump Inhibitor,Not Required,Used for treating infections,No,480.44,Controlled Substance,Adult
Cetirizine,Cholesterol,Tablet,Statin,Not Required,Used for treating infections,No,453.25,Controlled Substance,Adult
Ibuprofen,Asthma,Gel,Proton Pump Inhibitor,Required,Reduces fever,No,131.2,Controlled Substance,Senior
Aspirin,Pain,Inhaler,Antibiotic,Not Required,Used for pain relief,Yes,77.53,Controlled Substance,Child
Paracetamol,Allergy,Tablet,Antihistamine,Required,Controls blood pressure,No,412.55,Controlled Substance,Child
Cetirizine,Asthma,Injection,Proton Pump Inhibitor,Not Required,Lowers cholesterol,Yes,496.58,Controlled Substance,Child
Paracetamol,Infection,Capsule,Antihistamine,Not Required,Used for treating infections,Yes,105.18,Over the Counter,Adult
Amoxicillin,Blood Pressure,Syrup,ACE inhibitor,Not Required,Lowers cholesterol,No,436.2,Controlled Substance,Child
Simvastatin,Diabetes,Drops,Proton Pump Inhibitor,Not Required,Used for treating infections,Yes,180.42,Over the Counter,Senior
Cetirizine,Pain,Capsule,Antibiotic,Required,Alleviates allergies,Yes,95.63,Controlled Substance,Child
Simvastatin,Heart Disease,Gel,ACE inhibitor,Required,Alleviates allergies,No,216.08,Prescription,Adult
Atorvastatin,Heart Disease,Injection,Antipyretic,Not Required,Reduces fever,Yes,9.51,Controlled Substance,Child
Paracetamol,Cholesterol,Drops,Proton Pump Inhibitor,Not Required,Lowers cholesterol,No,8.2,Controlled Substance,Senior
Aspirin,Pain,Syrup,Antipyretic,Not Required,Used for treating infections,Yes,309.9,Prescription,Senior
Atorvastatin,Fever,Drops,Proton Pump Inhibitor,Not Required,Controls blood pressure,Yes,26.0,Controlled Substance,Child
Metformin,Diabetes,Cream,Analgesic,Required,Alleviates allergies,Yes,19.47,Prescription,Senior
Amoxicillin,Pain,Inhaler,ACE inhibitor,Required,Controls blood pressure,No,353.11,Over the Counter,Adult
Simvastatin,Acidity,Syrup,Analgesic,Required,Alleviates allergies,Yes,49.67,Controlled Substance,Senior
Aspirin,Diabetes,Gel,Proton Pump Inhibitor,Not Required,Controls blood pressure,Yes,344.0,Controlled Substance,Child
Omeprazole,Acidity,Inhaler,Proton Pump Inhibitor,Not Required,Lowers cholesterol,Yes,130.9,Over the Counter,Adult
Paracetamol,Infection,Injection,Statin,Required,Reduces fever,Yes,79.44,Controlled Substance,Child
Aspirin,Asthma,Capsule,Statin,Required,Alleviates allergies,Yes,257.71,Over the Counter,Adult
Aspirin,Fever,Drops,Antibiotic,Not Required,Used for pain relief,No,359.57,Controlled Substance,Child
Simvastatin,Infection,Capsule,Antipyretic,Not Required,Alleviates allergies,Yes,216.01,Controlled Substance,Adult
Cetirizine,Acidity,Capsule,Analgesic,Required,Used for pain relief,No,19.61,Over the Counter,Senior
Amoxicillin,Infection,Inhaler,Antihistamine,Not Required,Reduces fever,Yes,454.76,Over the Counter,Adult
Omeprazole,Heart Disease,Inhaler,Antibiotic,Not Required,Alleviates allergies,No,297.63,Controlled Substance,Senior
Lisinopril,Diabetes,Syrup,Antihistamine,Not Required,Reduces fever,Yes,18.64,Prescription,Child
Amoxicillin,Pain,Capsule,Antipyretic,Not Required,Lowers cholesterol,Yes,105.76,Controlled Substance,Senior
Cetirizine,Heart Disease,Drops,Antihistamine,Required,Reduces fever,No,316.42,Over the Counter,Child
Simvastatin,Blood Pressure,Drops,ACE inhibitor,Required,Lowers cholesterol,No,230.04,Controlled Substance,Child
Omeprazole,Cholesterol,Gel,Analgesic,Not Required,Used for pain relief,No,243.9,Over the Counter,Child
Omeprazole,Blood Pressure,Inhaler,Antipyretic,Not Required,Used for treating infections,No,87.14,Over the Counter,Senior
Ibuprofen,Cholesterol,Syrup,Antibiotic,Required,Lowers cholesterol,No,302.88,Prescription,Adult
Cetirizine,Pain,Injection,Antihistamine,Not Required,Used for treating infections,No,219.48,Controlled Substance,Adult
Ibuprofen,Fever,Injection,Antipyretic,Not Required,Used for pain relief,Yes,156.56,Over the Counter,Senior
Ibuprofen,Asthma,Drops,Analgesic,Required,Lowers cholesterol,Yes,98.52,Controlled Substance,Adult
Atorvastatin,Fever,Inhaler,Antihistamine,Required,Reduces fever,No,314.71,Over the Counter,Senior
Simvastatin,Infection,Inhaler,Proton Pump Inhibitor,Required,Used for treating infections,Yes,468.24,Over the Counter,Adult
Lisinopril,Blood Pressure,Syrup,Antihistamine,Required,Used for pain relief,Yes,458.66,Over the Counter,Adult
Metformin,Infection,Cream,Antibiotic,Required,Lowers cholesterol,Yes,354.43,Prescription,Senior
